"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 19 13:10:35 GMT 2023","Sun Nov 19 13:10:40 GMT 2023","4394","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"passed","Sun Nov 19 13:10:37 GMT 2023","Sun Nov 19 13:10:41 GMT 2023","3578","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
"passed","Sun Nov 19 13:10:25 GMT 2023","Sun Nov 19 13:10:35 GMT 2023","10748","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
"passed","Sun Nov 19 13:10:37 GMT 2023","Sun Nov 19 13:10:41 GMT 2023","3740","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"skipped","Sun Nov 19 13:10:43 GMT 2023","Sun Nov 19 13:10:44 GMT 2023","969","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
"passed","Sun Nov 19 13:10:38 GMT 2023","Sun Nov 19 13:10:40 GMT 2023","1926","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"broken","Sun Nov 19 13:10:41 GMT 2023","Sun Nov 19 13:10:43 GMT 2023","2561","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"skipped","Sun Nov 19 13:10:40 GMT 2023","Sun Nov 19 13:10:41 GMT 2023","1383","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Sun Nov 19 13:10:43 GMT 2023","Sun Nov 19 13:10:47 GMT 2023","3798","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 13:10:35 GMT 2023","Sun Nov 19 13:10:39 GMT 2023","3613","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:10:32 GMT 2023","Sun Nov 19 13:10:35 GMT 2023","3720","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:10:36 GMT 2023","Sun Nov 19 13:10:38 GMT 2023","2522","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:10:25 GMT 2023","Sun Nov 19 13:10:32 GMT 2023","7111","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 13:10:32 GMT 2023","Sun Nov 19 13:10:36 GMT 2023","4084","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:10:41 GMT 2023","Sun Nov 19 13:10:43 GMT 2023","2171","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 13:10:24 GMT 2023","Sun Nov 19 13:11:19 GMT 2023","54740","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"passed","Sun Nov 19 13:10:24 GMT 2023","Sun Nov 19 13:10:31 GMT 2023","6861","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 13:10:39 GMT 2023","Sun Nov 19 13:10:41 GMT 2023","1773","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
