"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 15:50:01 GMT 2023","Sat Nov 18 15:50:05 GMT 2023","3848","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sat Nov 18 15:50:00 GMT 2023","Sat Nov 18 15:50:04 GMT 2023","3547","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sat Nov 18 15:50:03 GMT 2023","Sat Nov 18 15:50:05 GMT 2023","1908","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sat Nov 18 15:49:56 GMT 2023","Sat Nov 18 15:50:00 GMT 2023","4134","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sat Nov 18 15:49:59 GMT 2023","Sat Nov 18 15:50:01 GMT 2023","2102","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
"passed","Sat Nov 18 15:49:48 GMT 2023","Sat Nov 18 15:49:56 GMT 2023","8237","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sat Nov 18 15:49:48 GMT 2023","Sat Nov 18 15:50:41 GMT 2023","52977","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"passed","Sat Nov 18 15:49:48 GMT 2023","Sat Nov 18 15:49:56 GMT 2023","8248","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sat Nov 18 15:50:07 GMT 2023","Sat Nov 18 15:50:10 GMT 2023","3503","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sat Nov 18 15:50:05 GMT 2023","Sat Nov 18 15:50:07 GMT 2023","1773","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sat Nov 18 15:50:04 GMT 2023","Sat Nov 18 15:50:05 GMT 2023","1649","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"failed","Sat Nov 18 15:50:01 GMT 2023","Sat Nov 18 15:50:01 GMT 2023","367","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Sat Nov 18 15:50:00 GMT 2023","Sat Nov 18 15:50:03 GMT 2023","2470","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"failed","Sat Nov 18 15:50:03 GMT 2023","Sat Nov 18 15:50:04 GMT 2023","233","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
"passed","Sat Nov 18 15:49:56 GMT 2023","Sat Nov 18 15:50:01 GMT 2023","4237","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"passed","Sat Nov 18 15:50:01 GMT 2023","Sat Nov 18 15:50:03 GMT 2023","2649","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"passed","Sat Nov 18 15:49:56 GMT 2023","Sat Nov 18 15:50:00 GMT 2023","3868","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sat Nov 18 15:49:48 GMT 2023","Sat Nov 18 15:49:56 GMT 2023","8524","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
