"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 19 12:36:49 GMT 2023","Sun Nov 19 12:36:53 GMT 2023","4237","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:36:57 GMT 2023","Sun Nov 19 12:36:59 GMT 2023","2027","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 12:36:49 GMT 2023","Sun Nov 19 12:36:53 GMT 2023","3862","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"broken","Sun Nov 19 12:36:42 GMT 2023","Sun Nov 19 12:36:56 GMT 2023","13939","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
"skipped","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:57 GMT 2023","262","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Sun Nov 19 12:36:42 GMT 2023","Sun Nov 19 12:36:49 GMT 2023","6731","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:36:42 GMT 2023","Sun Nov 19 12:36:49 GMT 2023","6994","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"skipped","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:56 GMT 2023","165","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"skipped","Sun Nov 19 12:36:57 GMT 2023","Sun Nov 19 12:36:57 GMT 2023","182","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
"passed","Sun Nov 19 12:37:00 GMT 2023","Sun Nov 19 12:37:04 GMT 2023","4088","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:36:42 GMT 2023","Sun Nov 19 12:37:39 GMT 2023","56422","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"skipped","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:57 GMT 2023","199","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"broken","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:56 GMT 2023","395","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","prepareCarBrandForTest","prepareCarBrandForTest",""
"passed","Sun Nov 19 12:36:58 GMT 2023","Sun Nov 19 12:37:00 GMT 2023","2189","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:58 GMT 2023","2468","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:36:53 GMT 2023","Sun Nov 19 12:36:56 GMT 2023","2368","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:36:54 GMT 2023","Sun Nov 19 12:36:58 GMT 2023","4073","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:36:53 GMT 2023","Sun Nov 19 12:36:57 GMT 2023","3415","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"skipped","Sun Nov 19 12:36:56 GMT 2023","Sun Nov 19 12:36:56 GMT 2023","183","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
