"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 19 12:04:53 GMT 2023","Sun Nov 19 12:05:21 GMT 2023","28091","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"passed","Sun Nov 19 12:04:42 GMT 2023","Sun Nov 19 12:04:50 GMT 2023","8179","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
"failed","Sun Nov 19 12:05:21 GMT 2023","Sun Nov 19 12:05:27 GMT 2023","5437","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
"passed","Sun Nov 19 12:04:42 GMT 2023","Sun Nov 19 12:05:36 GMT 2023","54136","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"passed","Sun Nov 19 12:04:54 GMT 2023","Sun Nov 19 12:04:56 GMT 2023","1922","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Sun Nov 19 12:04:50 GMT 2023","Sun Nov 19 12:04:54 GMT 2023","3985","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 12:04:42 GMT 2023","Sun Nov 19 12:04:50 GMT 2023","7658","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 12:04:57 GMT 2023","Sun Nov 19 12:04:59 GMT 2023","1995","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:04:59 GMT 2023","Sun Nov 19 12:05:03 GMT 2023","3725","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:04:50 GMT 2023","Sun Nov 19 12:04:55 GMT 2023","4182","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:04:50 GMT 2023","Sun Nov 19 12:04:54 GMT 2023","3437","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"passed","Sun Nov 19 12:04:54 GMT 2023","Sun Nov 19 12:04:57 GMT 2023","3482","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Sun Nov 19 12:04:57 GMT 2023","Sun Nov 19 12:04:59 GMT 2023","1939","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:04:42 GMT 2023","Sun Nov 19 12:04:50 GMT 2023","8347","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:04:53 GMT 2023","Sun Nov 19 12:04:57 GMT 2023","3586","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Sun Nov 19 12:04:50 GMT 2023","Sun Nov 19 12:04:53 GMT 2023","2985","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
"passed","Sun Nov 19 12:04:55 GMT 2023","Sun Nov 19 12:04:57 GMT 2023","2240","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Sun Nov 19 12:04:57 GMT 2023","Sun Nov 19 12:04:59 GMT 2023","1776","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
