"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 21 18:57:17 GMT 2023","Tue Nov 21 18:57:19 GMT 2023","2129","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","deleteCarBrandTest","deleteCarBrandTest",""
"passed","Tue Nov 21 18:57:08 GMT 2023","Tue Nov 21 18:57:14 GMT 2023","6538","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","addingCarBrandTest","addingCarBrandTest",""
"passed","Tue Nov 21 18:57:14 GMT 2023","Tue Nov 21 18:57:17 GMT 2023","2975","test suite","e2e tests","testngtests.CarBrandTest","testngtests.CarBrandTest","editCarBrandTest","editCarBrandTest",""
"passed","Tue Nov 21 18:57:07 GMT 2023","Tue Nov 21 18:57:13 GMT 2023","6665","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Tue Nov 21 18:57:17 GMT 2023","Tue Nov 21 18:57:19 GMT 2023","1798","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","editCarModelTest","editCarModelTest",""
"passed","Tue Nov 21 18:57:19 GMT 2023","Tue Nov 21 18:57:21 GMT 2023","1679","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Tue Nov 21 18:57:17 GMT 2023","Tue Nov 21 18:57:21 GMT 2023","3696","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Tue Nov 21 18:57:13 GMT 2023","Tue Nov 21 18:57:17 GMT 2023","3790","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Tue Nov 21 18:57:22 GMT 2023","Tue Nov 21 18:57:23 GMT 2023","1597","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Tue Nov 21 18:57:07 GMT 2023","Tue Nov 21 18:58:01 GMT 2023","54518","test suite","e2e tests","testngtests.AdminPanelTest","testngtests.AdminPanelTest","adminPanelTest","adminPanelTest",""
"passed","Tue Nov 21 18:57:23 GMT 2023","Tue Nov 21 18:57:26 GMT 2023","3593","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Tue Nov 21 18:57:14 GMT 2023","Tue Nov 21 18:57:17 GMT 2023","2351","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","addingCarModelTest","addingCarModelTest",""
"passed","Tue Nov 21 18:57:07 GMT 2023","Tue Nov 21 18:57:14 GMT 2023","7457","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Tue Nov 21 18:57:14 GMT 2023","Tue Nov 21 18:57:18 GMT 2023","3924","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Tue Nov 21 18:57:18 GMT 2023","Tue Nov 21 18:57:22 GMT 2023","3735","test suite","e2e tests","testngtests.LoginTest","testngtests.LoginTest","loginTest","loginTest",""
"passed","Tue Nov 21 18:57:17 GMT 2023","Tue Nov 21 18:57:19 GMT 2023","1745","test suite","e2e tests","testngtests.RegistrationTest","testngtests.RegistrationTest","registrationTest","registrationTest",""
"passed","Tue Nov 21 18:57:21 GMT 2023","Tue Nov 21 18:57:23 GMT 2023","1766","test suite","e2e tests","testngtests.ChangingPasswordTest","testngtests.ChangingPasswordTest","changingPasswordTest","changingPasswordTest",""
"passed","Tue Nov 21 18:57:19 GMT 2023","Tue Nov 21 18:57:21 GMT 2023","2152","test suite","e2e tests","testngtests.CarModelTest","testngtests.CarModelTest","deleteCarModelTest","deleteCarModelTest",""
